Unique_Patient_Identifier	gene	copy
TCGA-W5-AA34	CRYBG2	del
TCGA-W5-AA34	ZNF683	del
TCGA-W5-AA34	LIN28A	del
TCGA-W5-AA34	DHDDS	del
TCGA-W5-AA34	HMGN2	del
TCGA-W5-AA34	RPS6KA1	del
TCGA-W5-AA34	ARID1A	del
TCGA-W5-AA34	PIGV	del
TCGA-W5-AA34	ZDHHC18	del
TCGA-W5-AA34	SFN	del
TCGA-W5-AA34	GPN2	del
TCGA-W5-AA34	GPATCH3	del
TCGA-W5-AA34	NUDC	del
TCGA-W5-AA34	NR0B2	del
TCGA-W5-AA34	KDF1	del
TCGA-W5-AA34	TRNP1	del
TCGA-W5-AA34	TENT5B	del
TCGA-W5-AA34	SLC9A1	del
TCGA-W5-AA34	WDTC1	del
TCGA-W5-AA34	TMEM222	del
TCGA-W5-AA34	SYTL1	del
TCGA-W5-AA34	MAP3K6	del
TCGA-W5-AA34	FCN3	del
TCGA-W5-AA34	CD164L2	del
TCGA-W5-AA34	GPR3	del
TCGA-W5-AA34	WASF2	del
TCGA-W5-AA34	AHDC1	del
TCGA-W5-AA34	FGR	del
TCGA-W5-AA34	IFI6	del
TCGA-W5-AA34	FAM76A	del
TCGA-W5-AA34	STX12	del
TCGA-W5-AA34	PPP1R8	del
TCGA-W5-AA34	THEMIS2	del
TCGA-W5-AA34	RPA2	del
TCGA-W5-AA34	SMPDL3B	del
TCGA-W5-AA34	XKR8	del
TCGA-W5-AA34	EYA3	del
TCGA-W5-AA34	PTAFR	del
TCGA-W5-AA34	DNAJC8	del
TCGA-W5-AA34	ATP5IF1	del
TCGA-W5-AA34	SESN2	del
TCGA-W5-AA34	MED18	del
TCGA-W5-AA34	PHACTR4	del
TCGA-W5-AA34	RCC1	del
TCGA-W5-AA34	TRNAU1AP	del
TCGA-W5-AA34	TAF12	del
TCGA-W5-AA34	RAB42	del
TCGA-W5-AA34	GMEB1	del
TCGA-W5-AA34	YTHDF2	del
TCGA-W5-AA34	OPRD1	del
TCGA-W5-AA34	EPB41	del
TCGA-W5-AA34	TMEM200B	del
TCGA-W5-AA34	SRSF4	del
TCGA-W5-AA34	MECR	del
TCGA-W5-AA34	PTPRU	del
TCGA-W5-AA34	MATN1	del
TCGA-W5-AA34	LAPTM5	del
TCGA-W5-AA34	SDC3	del
TCGA-W5-AA34	PUM1	del
TCGA-W5-AA34	NKAIN1	del
TCGA-W5-AA34	SNRNP40	del
TCGA-W5-AA34	ZCCHC17	del
TCGA-W5-AA34	FABP3	del
TCGA-W5-AA34	SERINC2	del
TCGA-W5-AA34	TINAGL1	del
TCGA-W5-AA34	HCRTR1	del
TCGA-W5-AA34	PEF1	del
TCGA-W5-AA34	COL16A1	del
TCGA-W5-AA34	ADGRB2	del
TCGA-W5-AA34	SPOCD1	del
TCGA-W5-AA34	PTP4A2	del
TCGA-W5-AA34	KHDRBS1	del
TCGA-W5-AA34	TMEM39B	del
TCGA-W5-AA34	KPNA6	del
TCGA-W5-AA34	TXLNA	del
TCGA-W5-AA34	CCDC28B	del
TCGA-W5-AA34	IQCC	del
TCGA-W5-AA34	DCDC2B	del
TCGA-W5-AA34	TMEM234	del
TCGA-W5-AA34	EIF3I	del
TCGA-W5-AA34	FAM167B	del
TCGA-W5-AA34	LCK	del
TCGA-W5-AA34	HDAC1	del
TCGA-W5-AA34	MARCKSL1	del
TCGA-W5-AA34	TSSK3	del
TCGA-W5-AA34	FAM229A	del
TCGA-W5-AA34	BSDC1	del
TCGA-W5-AA34	ZBTB8B	del
TCGA-W5-AA34	ZBTB8A	del
TCGA-W5-AA34	ZBTB8OS	del
TCGA-W5-AA34	RBBP4	del
TCGA-W5-AA34	SYNC	del
TCGA-W5-AA34	KIAA1522	del
TCGA-W5-AA34	YARS1	del
TCGA-W5-AA34	S100PBP	del
TCGA-W5-AA34	FNDC5	del
TCGA-W5-AA34	HPCA	del
TCGA-W5-AA34	TMEM54	del
TCGA-W5-AA34	RNF19B	del
TCGA-W5-AA34	AK2	del
TCGA-W5-AA34	AZIN2	del
TCGA-W5-AA34	TRIM62	del
TCGA-W5-AA34	ZNF362	del
TCGA-W5-AA34	A3GALT2	del
TCGA-W5-AA34	PHC2	del
TCGA-W5-AA34	ZSCAN20	del
TCGA-W5-AA34	CSMD2	del
TCGA-W5-AA34	HMGB4	del
TCGA-W5-AA34	C1orf94	del
TCGA-W5-AA34	SMIM12	del
TCGA-W5-AA34	GJB5	del
TCGA-W5-AA34	GJB4	del
