path_id	gene
pw.1320	GANAB
pw.1320	RPS27A
pw.1320	EDEM1
pw.1320	TRIM13
pw.1320	UGGT2
pw.1320	DERL1
pw.1320	OS9
pw.167	TBC1D5
pw.167	UBE2E2
pw.167	NR1D2
pw.167	AZI2
pw.167	RBMS3
pw.167	RFTN1
pw.167	EOMES
pw.3070	LAP3
pw.3070	GSTA5
pw.3070	GGT7
pw.3070	ODC1
pw.3070	RRM2
pw.3070	IDH1
pw.3070	GSTK1
pw.3070	CHURC1
pw.3070	GPX4
pw.3070	G6PD
pw.3070	GSTA2
pw.3070	GCLM
pw.3070	RRM2B
pw.3070	RRM1
pw.1121	ABCD1
pw.1121	ACBD4
pw.1121	NUDT7
pw.1121	DECR2
pw.1121	NUDT19
pw.1121	CRAT
pw.1121	ALDH3A2
pw.1121	ACOX3
pw.1121	ACOT4
pw.1121	ACOX1
pw.1563	PSMD12
pw.1563	PSMA7
pw.1563	PSMB7
pw.1563	ORC3
pw.1563	PSMD2
pw.1563	ORC6
pw.1563	PSMB2
pw.1563	PSMD9
pw.1563	PSMB3
pw.1563	PSME3
pw.1563	CDK2
pw.1563	ORC5
pw.1563	SKP2
pw.1563	PSMB5
pw.1563	PSMC5
pw.1563	PSMA3
pw.1563	CUL1
pw.1563	MCM4
pw.1563	PSMC3
pw.1563	RBX1
pw.2642	ACTL6A
pw.2642	RNF216
pw.2642	UBE2C
pw.2642	NUP107
pw.1866	IL12A
pw.1866	SOD2
pw.1866	CA1
pw.1866	ANXA2
pw.1866	HNRNPF
pw.1866	SERPINB2
pw.1866	MSN
pw.1866	TALDO1
pw.1866	ENSG00000251357
pw.1866	PDCD4
pw.735	SEC13
pw.735	KPNB1
pw.735	NUP37
pw.735	NUP35
pw.735	NUP93
pw.735	NUP43
pw.735	RAE1
pw.735	NUP62
pw.686	CPSF4
pw.686	RPL9
pw.686	RPL26L1
pw.686	RPS27
pw.686	RPL10L
pw.686	DNAJC3
pw.686	RPS9
pw.686	GTF2F2
pw.686	RPS2
pw.686	KPNA4
pw.686	ISG15
pw.686	RPS3
pw.686	RPL36A-HNRNPH2
pw.686	TGFB1
pw.686	RPS19
pw.686	RPL23A
pw.686	KPNA2
pw.686	RPS15
pw.686	RPL31
pw.686	RPL10
pw.686	HSPA1A
pw.686	RPL6
pw.1211	LSM5
pw.1211	DCP1B
pw.1211	EDC3
pw.1211	LSM4
pw.1211	EXOSC5
pw.1211	EXOSC9
pw.1211	EXOSC8
pw.1211	EXOSC7
pw.1211	PABPC1
pw.1211	EIF4A2
pw.1211	DCPS
pw.1211	PAN3
pw.1211	LSM3
pw.444	ITGAV
pw.444	VTN
pw.444	CCN1
pw.444	ITGB7
pw.444	ITGB5
pw.444	SDC1
pw.1622	POLR1D
pw.1622	H4C8
pw.1622	H4C13
pw.1622	CCNH
pw.1622	TBP
pw.1622	H2BC1
pw.1622	GTF2H1
pw.1622	POLR1E
pw.1622	H3C7
pw.1622	H3C1
pw.1622	H3C8
pw.1622	TAF1D
pw.1622	H3C10
pw.1622	GTF2H3
pw.1622	H2BC8
pw.1622	H2BC6
pw.1622	H2BC4
pw.1622	H4C1
pw.1622	POLR1C
pw.1622	H4C5
pw.1622	RRN3
pw.1114	NOP56
pw.1114	FBXW2
pw.1114	CCNE2
pw.1114	SPHK1
pw.1114	SIAH1
pw.1114	CCT5
pw.1114	CCT7
pw.1114	FBXO6
pw.1114	FBXL5
pw.185	NSUN7
pw.185	ARAP2
pw.185	UGDH
pw.185	SMIM14
pw.185	TLR6
pw.185	RHOH
pw.185	TMEM156
pw.185	CHRNA9
pw.2062	CES1
pw.2062	GLYAT
pw.2062	SLCO2B1
pw.2062	CES2
pw.2062	UGT1A5
pw.2062	UGT1A7
pw.2062	UGT2B4
pw.2062	UGT1A4
pw.2062	UGT3A2
pw.2062	BSG
pw.1716	HLA-A
pw.1716	RNF152
pw.1716	RRAGA
pw.1716	PCNA
pw.1716	UBE2D3
pw.1716	RTF1
pw.1716	RNF20
pw.1716	RAD18
pw.1716	PEX10
pw.1716	UBE2V2
pw.1716	PEX13
pw.3365	YWHAE
pw.3365	SHC1
pw.3365	SMURF2
pw.3365	TGFB2
pw.3365	TAB1
pw.3365	TAB2
pw.3365	YAP1
pw.3365	PPP2R2A
pw.3365	SMAD7
pw.3365	PML
pw.3365	PPP1R15A
pw.3365	CCN2
pw.3365	RPS6KB1
pw.3365	PARD6A
pw.195	CAMK2D
pw.195	ARSJ
pw.3059	BCAT2
pw.3059	ACADSB
pw.3059	ACADM
pw.3059	ACAD8
pw.3059	DBT
pw.3059	ECHS1
pw.3059	BCKDHA
pw.3059	HMGCS1
pw.3059	AUH
pw.3059	OXCT2
pw.3059	ALDH7A1
pw.1551	ARFIP2
pw.1551	RABEPK
pw.1551	COG8
pw.1551	NAA35
pw.1551	STX10
pw.1551	NAPA
pw.1551	VPS51
pw.1551	NAA30
pw.1551	GCC2
pw.1551	SCOC
pw.1551	VAMP4
