variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
pw.1320,pw.1551,1065.20681891687,560.225712442901,0.001,6355.35689824593,0.904377388850306,0.237575149363956,0.000102360484151086,12.8913698315263,3.63757047374378,3.54395053637504,1025.11435265911,708.277466431802,29,41,12,583,665,771.447496468559,1425.54582987805,405.708883686494,749.784004536593,,4606.67799907771,3266.46780449819,11383.1620286939
pw.167,pw.3070,975.763680461204,750.541820213911,0.001,5697.68020047312,0.926188214101986,0.602164085129546,0.0419396216005528,6.11852620503397,2.07982557733404,2.94184583155133,950.071713540249,878.780039454357,31,30,6,598,665,694.119169367676,1324.95087215621,512.958132295411,1052.17624477926,,5320.16571428552,2210.88187103722,12069.2299311126
pw.167,pw.1121,777.964366940036,846.737819957899,8069.97471261987,1716.42159576927,0.65235901369157,0.992382213439637,0.000347273230502423,9.12363368534901,2.07949192981354,4.38743404316413,950.07171353915,866.505129196106,28,27,9,601,665,525.139672652509,1100.52969128006,588.756309542383,1168.25984257047,2994.30182335543,16598.5410539987,,8590.45562849831
pw.167,pw.1563,718.636027880529,859.585955081528,6854.89080245498,0.001,0.760402473900653,0.941409689426689,0.00176847957458494,9.70434852493062,2.94674898976449,3.29323894184357,950.071713526068,838.722259305887,27,41,10,587,665,480.485470521779,1024.91815916596,644.640461518727,1117.76485585426,3362.181743413,12448.7290608799,,4370.29537778939
pw.167,pw.2642,974.229765108439,690.510299666712,0.001,6077.03278943885,0.956025840742163,0.937596954868123,0.0144199636561528,6.83095477317245,2.09765875221531,3.25646617494784,950.071713535053,835.341691106933,30,29,7,599,665,693.028760439479,1322.86621218933,468.670126202717,973.311064865269,,6046.41714683928,2539.36739813429,12357.4331680044
pw.167,pw.1866,816.351324808045,842.728279380521,5885.65743491719,0.001,0.732035673858064,0.927797785700427,0.0510431374903378,6.13791849665019,2.13599802166851,2.87356001006762,950.071713526038,820.115294480532,31,31,6,597,665,561.621747936152,1138.49689356449,599.475654731528,1144.32477705502,2291.94969330521,12384.4277934853,,4600.10178010058
pw.167,pw.735,988.973938534708,685.838396957795,0.001,5880.28793476019,0.963928127435671,0.766692341051692,0.00310576319494039,9.81730471405595,3.23501506992689,3.03470138526366,950.071713533447,816.069090536714,27,46,10,582,665,703.501147373272,1342.92108091307,506.183570512543,903.731041557065,,4464.8009710398,2833.45796451422,11015.7245743274
pw.167,pw.686,757.863995628481,844.583654307249,6315.42162516487,413.238846627063,0.780266991898444,0.997901822880741,0.00434489525600359,8.65995076649978,2.68367333377072,3.22690196959704,950.071713533072,833.917088134057,28,37,9,591,665,510.748786266023,1074.09894997754,620.677145011865,1116.21033071208,2776.05876097562,12132.1012861754,,5185.05720830869
pw.167,pw.1211,908.557268965376,777.878372701924,1825.67793321124,1418.411790364,0.981080178242559,0.98713402261208,0.381228136725776,5.84627180629851,3.33426015511147,1.75339401676143,950.07171353558,795.588431403404,31,52,6,576,665,629.43548769891,1257.94121025049,587.627206744576,1004.85721034158,,5349.08383599698,,4526.42245162237
pw.167,pw.444,977.102812472432,680.699419473678,0.001,4773.24540626914,0.923872045450377,0.66469562889629,0.0558824492679922,6.26110788060935,2.24285291855815,2.79158201984747,950.071713541066,785.01888059597,31,33,6,595,665,695.071304531988,1326.77068088899,474.044131335328,940.167280965786,,5065.12949020763,1856.0773993232,10071.1933507017
pw.167,pw.1622,979.722591670354,701.347345676046,0.001,3554.85194800534,0.92524603163606,0.807145211867768,0.228233833875862,5.19338766232304,2.38826407673138,2.17454498140373,950.071713536083,775.99488943564,32,37,5,591,665,696.930405337175,1330.33533269801,498.913843599018,952.322017259478,,4450.55631638715,1252.71925854262,7901.42159069513
pw.167,pw.1114,978.515865892879,667.797842263387,0.001,4428.78632336416,0.948416214816188,0.724454747044168,0.0728534395715097,5.83720964619876,2.20073717663758,2.65238834885191,950.071713530084,772.34640430647,31,32,6,596,665,696.071879973597,1328.69883747772,462.281779366341,926.768979843581,,4984.97818305094,1718.05654967102,9387.58906690718
pw.167,pw.185,936.192333786922,661.521955513337,1505.32126905772,4647.80375412586,0.997205418219159,0.807010411012291,0.012485881101421,6.89453743746921,2.05587391442464,3.35357990054498,950.071713532633,767.246223315782,30,28,7,600,665,656.394768164935,1283.81107926782,446.510218200955,935.908759615314,,8002.44557688118,1366.85323520512,10475.7312948609
pw.167,pw.2062,921.585189722479,710.684690081653,1945.60278979538,2170.39204674887,0.985534821141809,0.959286931235453,0.206307443011116,5.10101869266813,2.2298193378875,2.2876376601437,950.071713528979,749.766282127181,32,33,5,595,665,643.742979639808,1268.00687856921,497.044367262274,977.275099480927,,7253.4555680803,,6559.66750021912
pw.167,pw.1716,976.853000108895,685.411403584711,104.66900413604,2672.3112640681,0.982116660765752,0.860401394311305,0.497489662814785,3.89550027722875,2.19070675025132,1.77819339662045,950.071713534639,744.498289792109,33,33,4,595,665,693.928524409211,1327.50596302923,477.302862897274,946.74050776751,,4448.07703676612,763.738581674511,6553.88544261389
pw.167,pw.3365,911.304377245955,637.857489264814,1937.31901225459,4743.62678633155,0.992502814047725,0.843644140672444,0.000502169805436506,10.9355364698109,3.16961413180958,3.45011601256573,950.071713538039,733.63775221893,26,44,11,584,665,629.67877130035,1262.1923070888,468.458057967291,843.411193718706,,7118.96163484243,1744.21183929529,9762.42718950205
