cca_type,signature,pval,fdr
DCC,SBS96,2.70236914047798e-06,1.21499354154339e-05
panCCA,SBS96,3.33616983822438e-43,2.16851039484585e-42
IHC,SBS97,1.66163380194358e-24,7.2004131417555e-24
PHC,SBS97,0.000706959461320247,0.000926360673454116
DCC,SBS97,0.00889304084816756,0.0126554812070077
panCCA,SBS97,3.96582939521146e-28,1.40606678557497e-27
IHC,SBS98,1.00353479143165e-23,3.91378568658345e-23
PHC,SBS98,2.03547278118814e-09,8.59421840946105e-09
DCC,SBS98,2.58769141670957e-07,1.91489164836508e-06
panCCA,SBS98,2.24397772917935e-37,9.72390349311052e-37
IHC,SBS99,2.60115109494681e-05,3.90172664242022e-05
PHC,SBS99,0.000612125574091431,0.000830741850552656
DCC,SBS99,4.38950851170875e-06,1.47647104484749e-05
panCCA,SBS99,3.58114985915483e-11,5.58659378028154e-11
