variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,fdr
pw.1779.tgs,pw.1438.tgs,510.893920680315,266.310640826485,0.001,2538.90269025497,0.909620866541314,0.233981487439053,2.86244894191389e-05,16.7847712875812,5.14130595350352,3.26469022450284,492.810827813012,329.06281178206,47,60,16,916,1039,394.85910689902,647.721700844377,204.465547687657,339.536974237202,,1756.57516549799,1448.59886258934,4162.52258509454,0.000220402877822153
pw.1779.tgs,pw.1750.tgs,507.763107526237,295.31115966787,0.001,1787.95575594129,0.787246291133685,0.383176562147802,0.0271721782498708,9.30336955926331,3.75760474996992,2.47587763437274,492.810827818018,340.542752324584,54,48,9,928,1039,392.44042512959,643.749926978809,219.437698065089,386.945523090872,,1562.31094277895,845.737679917462,3307.06485539217,0.0306423600504567
pw.1779.tgs,pw.3070,518.452624354507,727.865082642628,0.001,5913.32876827623,0.905233100748995,0.528176454760019,0.0191107066353462,7.5316929656706,2.5082277892104,3.00279464172654,504.54211042953,878.780039456093,33,29,7,596,665,373.884578408754,696.244724588206,494.024518243579,1025.96203073772,,2647.83867640438,2480.86416575178,11932.6918928662,0.0226425587477013
pw.1779.tgs,pw.1563,524.969802216622,727.230599716579,0.001,4461.27235349978,0.951739540490602,0.700607741691721,0.0466440337336793,8.35374847146188,3.48334607146874,2.39819653289274,504.542110428303,838.722259313298,32,43,8,582,665,378.579860055875,705.021463418277,530.869974730092,966.902964877902,,2060.91373956796,1986.51181786857,8682.92084876621,0.0471477490007817
pw.1779.tgs,pw.2642,485.196313321372,749.852705143398,1277.83945878995,3801.64637534582,0.958040212680166,0.795624856585607,0.0192521766730387,7.79416715382758,2.5157304158606,3.09817264389249,504.542110431734,835.341691102904,33,29,7,596,665,342.910849988636,661.074945625489,511.544188580385,1051.2490471851,,4548.5376642111,609.520000285369,9382.63803328349,0.022752572431773
pw.1779.tgs,pw.1866,385.635220772357,842.011124292933,5943.50747073431,0.001,0.200860837030263,0.900746689936886,4.69687611906423e-05,11.7865492471157,2.58985375859236,4.55104818486815,504.542110432074,820.115294483315,30,27,10,598,665,263.563080707323,540.618777750682,598.972877012986,1143.33687513592,2847.25246867302,11240.1702002701,,5099.23895604816,0.000323255591723832
pw.1779.tgs,pw.735,526.909493243409,703.026341336321,0.001,4666.42718364717,0.949078713612863,0.527641373351596,0.0209749584493135,9.59331511384547,3.85139373351083,2.49086844338308,504.542110430261,816.069090547354,31,47,9,578,665,379.972161940932,707.627053517479,520.638953891488,923.775206318883,,1974.23699737591,2175.46700823982,8854.13479295343,0.0245407013856968
pw.1779.tgs,pw.1211,527.706862244061,690.77249531845,0.001,4233.37093150206,0.977707091335212,0.75654653309457,0.0340493662306155,9.34342466419116,3.989746249672,2.34185937638497,504.542110429582,795.588431399691,31,49,9,576,665,380.545146585062,708.704770454731,514.887980018537,902.825561506951,,1953.11908653355,1974.97939412493,8023.12951799077,0.0371187368578676
pw.1779.tgs,pw.1114,519.539873344073,583.310426248719,0.001,7460.84623729856,0.88275593863102,0.17331525775104,0.000183937299979526,10.6064285364104,2.61518505046836,4.05570861400837,504.542110432371,772.346404308497,30,28,10,597,665,374.668573365908,697.7103382636,393.027277241682,826.926310783473,,2675.87761604851,3617.15408177547,13821.0941925353,0.000839461501996534
pw.1779.tgs,pw.185,504.553196440045,605.121506467688,515.599371694923,6534.04717501176,0.999988757831245,0.496823546838084,0.000610379267053926,9.73016378359264,2.4428815443689,3.98306819502636,504.542110432078,767.246223318448,31,26,9,599,665,360.726778614406,681.527114613636,401.533345630557,867.884409706785,,4153.89009661665,2729.98454580207,12947.8531671869,0.00168441415517205
