variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
APC,FAT2,1294.68553315296,297.430694695625,0.001,7154.68777774424,0.987963485251721,1,0.0199994466468498,3.04352962888387,0.467242776169545,6.51380777640847,1281.51260838454,464.99101643309,11,5,3,256,275,729.302929868457,2096.40847632754,106.652799018417,639.327302538408,,41941.1272474054,1706.78579810575,20606.2814769991
APC,FBN2,1106.79109445597,219.94431523272,21856.0827011719,0.001,0.740539167758255,0.967069735246863,0.0816329478709598,2.2124823039527,0.360125633290719,6.1436401617283,1281.51260841835,214.318124040968,12,4,2,257,275,592.638868470197,1856.51393460789,87.404980633519,445.703869619022,3326.51942010968,91958.6615349691,,5184.35335443687
APC,FBXW7,1289.98761713369,496.539730128528,0.001,12823.0959065412,0.983715405484499,0.933235079633453,0.0646657374608797,2.12462117536468,0.298117378239667,7.12679411012604,1281.51260839638,807.452602795616,12,3,2,258,275,726.667995846441,2088.76345664171,123.480208321075,1287.66738472114,,57134.5556493283,2074.17912163226,42861.7041146513
APC,FGFR2,,,,,,,,,,,,,14,0,0,261,275,,,,,,,,
APC,GLI3,1243.39930007267,118.108294934397,5555.60108082631,1482.78491832275,0.994397207094421,0.94880914946134,0.100435514457532,2.07150667952048,0.351232677350686,5.89781877684518,1281.51260840765,152.606366239141,12,4,2,257,275,683.174808931938,2041.24771894957,37.17065648411,269.430520025386,,53407.8174293212,,6049.71840280793
APC,GNAS,1327.00530456673,1485.31173375656,0.001,4237.98542562575,0.883982030843421,0.846370458127989,0.845623674411393,1.03246055293737,0.764855637475295,1.34987637189341,1281.51260840338,1563.50034086716,13,12,1,249,275,747.43792035129,2149.02032037917,795.233080579399,2491.7673848091,,8631.08725436059,238.32381339628,19773.3635776513
APC,HMCN1,1120.61767931947,337.823629686328,8908.26003542011,0.000999999999976353,0.885164069038671,0.966626764155668,0.323912196307707,2.17407523812175,0.700770923602292,3.10240502980059,1281.51260839262,329.446772608117,12,10,2,251,275,600.010291760903,1879.79136982869,180.878469303169,566.695433166303,1421.99208623542,31074.0324151213,,4285.33150003084
APC,HYDIN,960.925185043153,633.568061051945,0.001,0.001,0.763471955296259,0.777576724336944,0.593768157367637,6.8737708742387e-07,0.482808596853088,1.42370515335506e-06,928.595453562992,617.469551571774,8,10,0,186,204,439.057422897498,1789.16562103986,317.389776582328,1111.64533747725,,6938.66663372388,,5023.87795013912
APC,IDH2,1283.84654267508,739.844160468864,0.001,0.001,0.897712788435127,0.976577198468501,0.952316037405573,5.2905113569142e-08,0.0479133050484063,1.10418418257084e-06,1281.51260839534,722.496365546888,14,1,0,260,275,723.217628100499,2078.77443977207,42.2144098982847,3257.64432328557,,171309.102801175,,60779.3820134768
APC,KMT2C,1019.82149992872,626.447332914431,19706.1840998506,0.001,0.627971545239218,0.959256226137342,0.0259638889725867,3.29367462839571,0.562996959766253,5.85025295654027,1281.512608395,612.180797458206,11,7,3,254,275,529.508824613547,1746.81997631693,313.872072836932,1098.88643264521,4622.97130474436,59771.8830589647,,10976.3653472645
