variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
DMXL2,LAMA2,1155.3006403172,252.019255762442,0.001,15250.7196595918,0.963834976552853,0.417560247746892,0.0143383461827476,2.36859133209859,0.188778992456575,12.5469010151828,1139.83502445606,416.001609883823,4,3,2,177,186,459.144275507325,2341.27462340029,62.6711591928873,653.560773642533,,56017.2065971303,2366.2990162567,60039.0850062327
DMXL2,LRP1B,1193.80608310184,269.021837996498,0.001,3056.1945277397,0.949386929771461,0.714048791750193,0.189313310349286,2.19860230719805,0.57034167243066,3.85488631372161,1139.83502445997,304.030486266749,4,14,2,166,186,474.429723428401,2419.63366236035,151.526763315747,435.670587646736,,16103.6213543603,474.989312638657,11972.8897697932
DMXL2,LRP2,1156.68477384183,224.38098340941,0.001,16822.7302875118,0.973659204525972,0.57304938970124,0.00130236503377983,3.20221969095498,0.260137484036447,12.3097203881096,1139.83502445606,389.503246901401,3,4,3,176,186,459.706262754084,2344.10617502718,69.6555520683302,521.294589174732,,56196.5856581324,3688.20886799179,67773.6314470305
DMXL2,LRRIQ1,967.54185164806,320.070828012933,65392.1901016091,18774.7658059736,0.947945443979349,0.958012473913315,0.00304454226004904,2.47268954788155,0.112395263422699,21.9999444156485,1139.83502445606,496.300481107131,4,1,2,179,186,320.304049030101,2120.0560653033,24.0191786737905,1095.51545184211,,1172384.81804759,,107022.939073609
DMXL2,MACF1,269.869419173016,547.07496326326,0.001,0.001,0.981229634405009,0.996317419411817,0.97761651726719,5.7478547079489e-08,0.0202110624008772,2.84391517573041e-06,264.794460497046,546.029779640603,1,2,0,122,125,15.3979652938023,1188.37436988864,90.9617317001703,1689.53911250521,,33228.1994199393,,503229.120860237
DMXL2,MED12,1156.58480530433,496.79585346926,0.001,39998.947308532,0.97311039394913,0.478852570887687,0.0010508724792581,3.30374653317532,0.260613887143911,12.6767862195732,1139.83502445606,862.991427762514,3,4,3,176,186,459.667572058728,2343.90680955202,154.222841228428,1154.2003718637,,56590.8356776746,8790.22019756573,158991.248122347
DMXL2,NF1,1170.77072461749,853.247220621714,0.001,25114.8463388453,0.931720005446692,0.370699023951477,0.0418330452642748,2.334452328137,0.292657636968958,7.97673470036461,1139.83502446205,1126.30141112408,4,6,2,174,186,465.288137492348,2372.81042723732,339.101858876479,1729.24482468855,,24428.5325137548,3900.58078627852,98625.2627750472
DMXL2,NRAS,1146.94430832338,2937.90740722161,0.001,0.001,0.963645307184371,0.971500460170059,0.936183352533071,3.85554113499975e-08,0.0618035271881986,6.2383836496244e-07,1139.83502446751,2895.6291565585,6,2,0,178,186,455.847195840204,2324.26487975188,488.506802756772,9072.05659478157,,73639.4567252863,,206076.971271882
DMXL2,PBRM1,1146.69847474371,345.654058701494,0.001,30722.505592066,0.993335654598039,0.782255495454077,0.00872254838955761,2.33021332441546,0.151655419849254,15.3651832999553,1139.83502445606,684.572099396016,4,2,2,178,186,455.752006236154,2323.75784853083,57.4743722138958,1067.36133587816,,142954.984247837,4769.30412894752,120770.855804816
DMXL2,PEG3,1129.18335982797,98.6370819942692,3256.0506832371,8143.48857798928,0.999880680519121,0.998558182287077,0.00867686707878681,2.36517715386047,0.153944808933348,15.3637993398303,1139.835024452,187.428292991203,4,2,2,178,186,439.405413284932,2304.70500663029,16.4137441953563,304.056978942966,,187566.494003225,1033.46501174795,32733.4091316739
